tweet_id,safe_text,label,agreement
2KY0LEQD,Flu vaccination safe??? Uhhhh no,-1.0,1.0
HVRTES3E,"<user> Quack 1 says if u kill this virus (by cooking meat to X temp), there's no prob. Quack 2 says a dead virus aids in vaccines.",-1.0,0.6666666666666666
LIOZ2L5F,Tell Pres. Obama: Help save 6 million kids' lives by supporting vaccines. Sign the petition: <url>,1.0,1.0
9U39UQU7,Phoenix Fire Dept. holds free immunization clinic: Just take your child's shot records to the Deer Valley Community… <url>,1.0,1.0
XK65QC2W,12:30 today. Vaccines prevent disease. At least according to Big Reality.  <url>,1.0,1.0
9T6QA1CE,Indiana health officials suggest flu vaccinations for dogs <url> via <user> #dogsrock #prevent,1.0,0.6666666666666666
GYQBGR69,The first child diagnosed with #measles visited the Port St. Lucie Civic Center on April 9 at approximately 1:45 p.m...,0.0,1.0
PAMMRNAV,"Ugh. My arm is killing me from my flu vaccine. Large &amp; swollen, hard lump, red, hot and tender as hell. Enhanced my foul mood. :(",-1.0,0.6666666666666666
1ML1LUUS,"My friend <user> had ""measles night"" at his Awana Club. 1 ""measle"" for every verse memorized. 31 @ Awa <url>",0.0,1.0
8961QAZ8,"<user> Measles, the California treat. <url>",0.0,1.0
4KH53KQD,“<user> Measles Replace Ebola As Health Threat: West Africa:  <url> some antivaxers don't think measles dangerous,1.0,0.6666666666666666
15OFDNT1,"U.S. Media Blackout: Italian Courts Rule #Vaccines Cause #Autism <url>
#UniteBlue #tcot",-1.0,1.0
PPS3YB3N,...I'll Be Back <user> #mmr #mixmasterrod #dc #dupontcircle #madhatte @ MixMasterRod's Upstairs Lounge <url>,0.0,1.0
T6TAU9IZ,<user> do vaccines cause autism?,0.0,1.0
KR1MKHR7,<user> I would be very interested in hearing your opinion after I know you have educated yourself on vaccination poisoning and Autism.,-1.0,1.0
44UTY8F7,4-7 The Global Health Security Agenda - Vaccines -RFID &amp; LGBT? What??: <url>,0.0,0.6666666666666666
PODEEUIX,"If you don't believe in vaccinating your kids, you might as well cease reproducing before you pass on your stupidity. #BeSmartAmerica",1.0,1.0
A4WCGR2W,<user> 1-The Flu vaccine is the first sign you have been indoctrinated by the system 2-Flu vaccines are the worst 3-Live virus or dead,-1.0,1.0
5TLJLMJD,<user> the last vaccine I had was the mmr in elementary school. 2 nurses and my oma held me down :/,0.0,0.6666666666666666
